rank,convergence_bonus,idf_floor,idf_threshold,conv_idf_power,min_idf_threshold,min_idf_penalty,recall_at_500,recall_at_100,found_at_500,found_at_100,total_gold
95,0.25,0.1,0.5,1.0,0.0,1.0,0.2030,0.0974,175,84,862
96,0.25,0.1,0.5,2.0,0.0,1.0,0.2030,0.0974,175,84,862
97,0.25,0.1,0.5,3.0,0.0,1.0,0.2030,0.0974,175,84,862
98,0.75,0.2,2.0,2.0,0.0,1.0,0.2030,0.0847,175,73,862
99,0.25,0.2,0.5,1.0,0.0,1.0,0.2019,0.0974,174,84,862
100,0.25,0.2,0.5,2.0,0.0,1.0,0.2019,0.0974,174,84,862
101,0.25,0.2,0.5,3.0,0.0,1.0,0.2019,0.0974,174,84,862
102,0.75,0.2,2.0,3.0,0.0,1.0,0.2019,0.0858,174,74,862
103,0.25,0.05,1.5,1.0,0.0,1.0,0.2019,0.0812,174,70,862
104,0.5,0.1,1.5,3.0,0.0,1.0,0.2019,0.0812,174,70,862
105,0.25,0.05,1.5,2.0,0.0,1.0,0.2019,0.0800,174,69,862
106,0.75,0.1,1.0,1.0,0.0,1.0,0.2019,0.0800,174,69,862
107,0.75,0.1,1.0,2.0,0.0,1.0,0.2019,0.0800,174,69,862
108,0.75,0.1,1.0,3.0,0.0,1.0,0.2019,0.0789,174,68,862
109,0.25,0.05,1.5,3.0,0.0,1.0,0.2007,0.0812,173,70,862
110,1.0,0.2,1.0,3.0,0.0,1.0,0.2007,0.0800,173,69,862
111,1.0,0.2,1.5,1.0,0.0,1.0,0.1995,0.0858,172,74,862
112,0.5,0.1,1.5,1.0,0.0,1.0,0.1995,0.0824,172,71,862
113,1.0,0.2,1.0,2.0,0.0,1.0,0.1995,0.0812,172,70,862
114,0.0,0.2,0.5,1.0,0.0,1.0,0.1984,0.0963,171,83,862
115,0.0,0.2,0.5,2.0,0.0,1.0,0.1984,0.0963,171,83,862
116,0.0,0.2,0.5,3.0,0.0,1.0,0.1984,0.0963,171,83,862
117,0.0,0.1,2.0,1.0,0.0,1.0,0.1984,0.0835,171,72,862
118,0.0,0.1,2.0,2.0,0.0,1.0,0.1984,0.0835,171,72,862
119,0.0,0.1,2.0,3.0,0.0,1.0,0.1984,0.0835,171,72,862
120,1.0,0.2,2.0,1.0,0.0,1.0,0.1984,0.0835,171,72,862
121,1.0,0.2,1.0,1.0,0.0,1.0,0.1984,0.0824,171,71,862
122,0.75,0.1,1.5,2.0,0.0,1.0,0.1984,0.0812,171,70,862
123,0.5,0.05,1.5,3.0,0.0,1.0,0.1984,0.0789,171,68,862
124,0.25,0.1,2.0,1.0,0.0,1.0,0.1972,0.0835,170,72,862
125,0.75,0.1,1.5,3.0,0.0,1.0,0.1972,0.0789,170,68,862
126,0.0,0.05,0.5,1.0,0.0,1.0,0.1961,0.0974,169,84,862
127,0.0,0.05,0.5,2.0,0.0,1.0,0.1961,0.0974,169,84,862
128,0.0,0.05,0.5,3.0,0.0,1.0,0.1961,0.0974,169,84,862
129,0.0,0.1,0.5,1.0,0.0,1.0,0.1961,0.0974,169,84,862
130,0.0,0.1,0.5,2.0,0.0,1.0,0.1961,0.0974,169,84,862
131,0.0,0.1,0.5,3.0,0.0,1.0,0.1961,0.0974,169,84,862
132,0.75,0.1,1.5,1.0,0.0,1.0,0.1961,0.0847,169,73,862
133,0.75,0.05,1.5,1.0,0.0,1.0,0.1961,0.0835,169,72,862
134,0.5,0.05,1.5,2.0,0.0,1.0,0.1961,0.0800,169,69,862
135,0.75,0.05,1.0,1.0,0.0,1.0,0.1961,0.0800,169,69,862
136,0.75,0.05,1.0,2.0,0.0,1.0,0.1961,0.0789,169,68,862
137,0.75,0.05,1.0,3.0,0.0,1.0,0.1961,0.0789,169,68,862
138,1.0,0.2,2.0,2.0,0.0,1.0,0.1949,0.0847,168,73,862
139,0.5,0.1,2.0,1.0,0.0,1.0,0.1937,0.0847,167,73,862
140,1.0,0.1,1.5,1.0,0.0,1.0,0.1937,0.0847,167,73,862
141,0.25,0.1,2.0,3.0,0.0,1.0,0.1937,0.0835,167,72,862
142,0.5,0.05,1.5,1.0,0.0,1.0,0.1937,0.0835,167,72,862
