rank,score,channels,quotation_run_tokens,bible_ref,bible_text,shenoute_ref,shenoute_text,label,notes
11,114.04,"lemma, exact, quotation, rare_word, syntax, sound",13,sahidica.2_corinthians.5.5,[Sahidica text omitted per license; see sahidica.2_corinthians.5.5],shenoute.abraham.308,ϫⲉⲡⲉⲛⲧⲁϥⲣϩⲱⲃ ⲇⲉ ⲉⲣⲟⲛ ⲉⲡⲁⲓ ⲡⲉ ⲡⲛⲟⲩⲧⲉ,,
12,113.24,"lemma, exact, quotation, rare_word, dictionary, syntax, sound, edit_distance",14,sahidic.genesis.1.26,ⲡⲉϫⲁϥ ⲛϭⲓⲡⲛⲟⲩⲧⲉ ϫⲉⲙⲁⲣⲉⲛⲧⲁⲙⲓⲟ ⲛⲟⲩⲣⲱⲙⲉ ⲕⲁⲧⲁⲧⲉⲛϩⲓⲕⲱⲛ ⲁⲩⲱ ⲕⲁⲧⲁⲡⲉⲛⲉⲓⲛⲉ ⲁⲩⲱ ⲙⲁⲣⲟⲩⲣϫⲟⲉⲓⲥ ⲉϩⲣⲁⲓ ⲉϫⲛⲛⲧⲃⲧ ⲛⲧⲑⲁⲗⲁⲥⲥⲁ ⲙⲛⲛϩⲁⲗⲁⲁⲧⲉ ⲛⲧⲡⲉ ⲙⲛⲛⲧⲃⲛⲟⲟⲩⲉ ⲙⲛⲛⲉⲑⲏⲣⲓⲟⲛ ⲙⲡⲕⲁϩ ⲧⲏⲣϥ ⲁⲩⲱ ⲉϫⲛϫⲁⲧϥⲉ ⲛⲓⲙ ⲉⲧⲙⲟⲟϣⲉ ϩⲣⲁⲓ ϩⲓϫⲙⲡⲕⲁϩ,shenoute.abraham.169,"ⲡⲁⲓ ⲉⲧϣⲟⲟⲡ ϩⲁⲧⲉⲩϩⲏ ⲧⲏⲣⲟⲩ · ϫⲉⲙⲁⲣⲉⲛⲧⲁⲙⲓⲟ ⲛⲟⲩⲣⲱⲙⲉ ⲕⲁⲧⲁⲧⲉⲛϩⲓⲕⲱⲛ ⲁⲩⲱ ⲕⲁⲧⲁⲡⲉⲛⲉⲓⲛⲉ ,",,
13,111.05,"lemma, exact, quotation, rare_word, dictionary, syntax, sound, edit_distance",12,sahidica.matthew.10.28,[Sahidica text omitted per license; see sahidica.matthew.10.28],shenoute.abraham.23,ⲙⲡⲣⲣϩⲟⲧⲉ ϩⲏⲧⲟⲩ ⲛⲛⲉⲧⲛⲁⲙⲟⲩⲟⲩⲧ ⲙⲡⲉⲧⲛⲥⲱⲙⲁ ·,,
14,111.05,"lemma, exact, quotation, rare_word, dictionary, syntax, sound, edit_distance",12,sahidica.matthew.10.28,[Sahidica text omitted per license; see sahidica.matthew.10.28],shenoute.abraham.137,ⲙⲡⲣⲣϩⲟⲧⲉϩⲏⲧⲟⲩ ⲛⲛⲉⲧⲛⲁⲙⲟⲩⲟⲩⲧ ⲙⲡⲉⲧⲛⲥⲱⲙⲁ ·,,
15,110.72,"lemma, exact, quotation, rare_word, syntax, sound",12,sahidica.luke.12.4,[Sahidica text omitted per license; see sahidica.luke.12.4],shenoute.abraham.23,ⲙⲡⲣⲣϩⲟⲧⲉ ϩⲏⲧⲟⲩ ⲛⲛⲉⲧⲛⲁⲙⲟⲩⲟⲩⲧ ⲙⲡⲉⲧⲛⲥⲱⲙⲁ ·,,
16,110.72,"lemma, exact, quotation, rare_word, syntax, sound",12,sahidica.luke.12.4,[Sahidica text omitted per license; see sahidica.luke.12.4],shenoute.abraham.137,ⲙⲡⲣⲣϩⲟⲧⲉϩⲏⲧⲟⲩ ⲛⲛⲉⲧⲛⲁⲙⲟⲩⲟⲩⲧ ⲙⲡⲉⲧⲛⲥⲱⲙⲁ ·,,
17,108.97,"lemma, exact, quotation, rare_word, syntax, sound, edit_distance",12,sahidica.galatians.4.30,[Sahidica text omitted per license; see sahidica.galatians.4.30],shenoute.abraham.41,ⲉⲧⲃⲉⲡⲁⲓ ⲣⲱ ⲁⲥϫⲟⲟⲥ ϩⲛⲟⲩⲡⲁⲣⲣⲏⲥⲓⲁ ϩⲙⲡⲥⲟⲟⲩⲛ ⲙⲡⲛⲟⲩⲧⲉ ⲛϭⲓⲧⲙⲁⲁⲩ ⲙⲡϣⲏⲣⲉ ⲉⲧⲟⲓ ⲛⲧⲟⲟⲧⲥ · ϫⲉⲛⲟⲩϫⲉ ⲉⲃⲟⲗ ⲛⲧⲉⲓϩⲙϩⲁⲗ ⲙⲛⲡⲉⲥϣⲏⲣⲉ · ⲛⲛⲉϥⲕⲗⲏⲣⲟⲛⲟⲙⲉⲓ ⲅⲁⲣ ⲛϭⲓⲡϣⲏⲣⲉ ⲛⲧⲉⲓϩⲙϩⲁⲗ ⲙⲛⲡⲁϣⲏⲣⲉ ⲓⲥⲁⲁⲕ ·,,
18,107.96,"lemma, exact, quotation, rare_word, syntax, sound",12,sahidica.romans.9.13,[Sahidica text omitted per license; see sahidica.romans.9.13],shenoute.abraham.48,ⲉⲁⲏⲥⲁⲩ ϣⲱⲡⲉ ⲛϩⲙϩⲁⲗ ⲛⲓⲁⲕⲱⲃ ⲕⲁⲧⲁⲛⲉⲅⲣⲁⲫⲏ ϫⲉⲡⲛⲟϭ ⲛⲁⲣϩⲙϩⲁⲗ ⲙⲡⲕⲟⲩⲓ ⲁⲩⲱ ⲟⲛ ϫⲉⲓⲁⲕⲱⲃ ⲁⲓⲙⲉⲣⲓⲧϥ ⲏⲥⲁⲩ ⲇⲉ ⲁⲓⲙⲉⲥⲧⲱϥ ·,,
19,107.29,"lemma, exact, quotation, rare_word, syntax, sound",10,sahidica.james.5.10,[Sahidica text omitted per license; see sahidica.james.5.10],shenoute.abraham.300,ⲁⲩⲱ ⲟⲛ ϫⲉϫⲓ ϭⲉ ⲙⲡⲉⲥⲙⲟⲧ ⲛⲁⲥⲛⲏⲩ ⲙⲡϩⲓⲥⲉ ⲙⲛⲧⲙⲛⲧϩⲁⲣϣϩⲏⲧ ⲛⲛⲉⲡⲣⲟⲫⲏⲧⲏⲥ · ⸖,,
20,101.04,"lemma, exact, quotation, rare_word, syntax, sound",12,sahidica.titus.2.3,[Sahidica text omitted per license; see sahidica.titus.2.3],shenoute.abraham.302,ⲉⲓⲧⲁ ⲟⲛ ϫⲉ ⲛϩⲗⲗⲱ ⲟⲛ ⲛⲧⲉⲓϩⲉ ϩⲛⲟⲩⲥⲙⲟⲧ ⲉϥⲟⲩⲁⲁⲃ ·,,
