coptic,greek
ⲉⲕⲡⲗⲏⲝⲓⲥ,εκπληξις
ⲉⲕⲥⲁⲕⲧⲱⲣ,εξακτωρ
ⲉⲕⲥⲧⲁⲥⲓⲥ,εκστασις
ⲉⲕⲧⲏⲥ,εκτος
ⲉⲕⲧⲓⲕⲉⲓ,εκδικια
ⲉⲕⲧⲓⲥ,εκτισις
ⲉⲕⲭⲱⲣⲏⲥⲓⲥ,εκχωρησις
ⲉⲗⲁⲙⲓⲧⲏⲥ,ελαμειτης
ⲉⲗⲁⲥⲥⲟⲙⲁ,ελασσωμα
ⲉⲗⲁⲭⲓⲥⲧⲟⲛ,ελαχιστος
ⲉⲗⲁⲭⲓⲥⲧⲟⲥ,ελαχιστος
ⲉⲗⲁⲭⳇ,ελαχιστος
ⲉⲗⲉⲅⲭⲉ,ελεγχω
ⲉⲗⲉⲏⲙⲟⲥⲩⲛⲏ,ελεημοσυνη
ⲉⲗⲉⲟⲛ,ελαιον
ⲉⲗⲉⲟⲩ,ελαιον
ⲉⲗⲉⲩⲑⲉⲣⲁ,ελευθερος
ⲉⲗⲉⲩⲑⲉⲣⲓⲁ,ελευθερια
ⲉⲗⲉⲩⲑⲉⲣⲟⲥ,ελευθερος
ⲉⲗⲉⲩⲑⲉⲣⲟⲩ,ελευθεροω
ⲉⲗⲉⲫⲁⲛⲧⲓⲛⲟⲛ,ελεφαντινος
ⲉⲗⲉⲫⲁⲥ,ελεφας
ⲉⲗⲕⲓⲥⲙⲁⲧⲟⲥ,ελκυσμα
ⲉⲗⲗⲉⲃⲟⲣⲟⲛ,ελλεβορον
ⲉⲙⲡⲉⲣⲟⲥ,εμπειρος
ⲉⲙⲡⲟⲇⲁⲍⲓⲛ,εμποδαζω
ⲉⲙⲡⲟⲇⲓⲟⲛ,εμποδιον
ⲉⲙⲡⲟⲣⲟⲥ,εμπορος
ⲉⲙⲫⲁⲛⲓⲍⲉ,εμφανιζω
ⲉⲙⲫⲁⲛⲓⲥⲑⲁⲓ,εμφανιζω
ⲉⲙⲯⲩⲭⲟⲛ,εμψυχος
ⲉⲙⲯⲩⲭⲟⲥ,εμψυχος
ⲉⲛⲁⲅⲉ,εναγω
ⲉⲛⲁⲛⲧⲓⲟⲛ,εναντιος
ⲉⲛⲇ,ενδοξοτης
ⲉⲛⲇⲟⲝⲟⲧⲁⲧⲟⲥ,ενδοξοτατος
ⲉⲛⲇⲩⲙⲁ,ενδυμα
ⲉⲛⲇⲱⲝⲟⲛ,ενδοξος
ⲉⲛⲉⲣⲅⲉⲓ,ενεργεω
ⲉⲛⲉⲣⲅⲉⲓⲁ,ενεργεια
ⲉⲛⲉⲭⲉⲣⲟⲛ,ενεχυρον
ⲉⲛⲑⲩⲙⲏⲥⲓⲥ,ενθυμησις
ⲉⲛⲕⲁⲕⲓⲛ,εγκακεω
ⲉⲛⲛⲁⲥ,εννεας
ⲉⲛⲛⲁⲧⲏ,ενατος / εννατος
ⲉⲛⲛⲟⲓⲁ,εννοια
ⲉⲛⲟⲭⲗⲉⲓ,ενοχλεω
ⲉⲛⲧⲁⲅⲓⲟⲛ,ενταγιον
ⲉⲛⲧⲉⲩⲑⲉⲛ,εντευθεν
ⲉⲛⲧⲓⲛⲁⲥⲥⲉ,εντινασσω
ⲉⲛⲧⲟⲗⲉⲩⲥ,εντολευς
ⲉⲛⲧⲟⲗⲏ,εντολη
ⲉⲛⲧⲟⲗⲓⲕⲟⲛ,εντολικον
ⲉⲛⲧⲟⲗⲟⲟⲩⲉ,εντολη
ⲉⲛⲱⲭⲗⲏⲥⲓⲥ,ενοχλησις
ⲉⲝⲁⲅⲉ,εξαγω
ⲉⲝⲁⲕⲩⲛⲇⲓⲛⲟⲥ,εξακινδυνος
ⲉⲝⲁⲡⲁⲧⲁ,εξαπαταω
ⲉⲝⲁⲡⲓⲛⲁ,εξαπινα
ⲉⲝⲁⲥ,εξας
ⲉⲝⲉⲇⲣⲁ,εξεδρα
ⲉⲝⲉⲗⲉⲓ,εξαιρεω
ⲉⲝⲉⲥⲧⲓ,εξεστι
ⲉⲝⲉⲧⲁⲍⲉ,εξεταζω
ⲉⲝⲉⲧⲁⲥⲓⲥ,εξετασις
ⲉⲝⲏⲅⲉⲓⲥⲓⲥ,εξηγησις
ⲉⲝⲏⲅⲏⲧⲏⲥ,εξηγητης
ⲉⲝⲏⲕⲏⲥⲓⲥ,εξηγησις
ⲉⲝⲟⲇⲟⲥ,εξοδος
ⲉⲝⲟⲙⲟⲗⲟⲅⲉⲓ,εξομολογεω
ⲉⲝⲟⲣⲅⲓⲥⲧⲏⲥ,εξορκιστης
ⲉⲝⲟⲩⲑⲉⲛⲓ,εξουθενεω
ⲉⲝⲟⲩⲥⲓⲁ,εξουσια
ⲉⲝⲟⲩⲥⲓⲁⲍⲓⲛ,εξουσιαζω
ⲉⲝⲟⲩⲥⲓⲁⲥⲧⲏⲥ,εξουσιαστης
ⲉⲝⲱⲇⲓⲕⲟⲥ,εξωτικος
ⲉⲝⲱⲣⲉⲓⲥⲧⲓⲁ,εξοριστια
ⲉⲝⲱⲣⲓⲍⲓⲛ,εξοριζω
ⲉⲝⲹⲟⲙⲟⲗⲟⲅⲏⲥⲓⲥ,εξομολογησις
ⲉⲡⲁⲓⲛⲟⲩ,επαινεω
ⲉⲡⲁⲛ,επαν
ⲉⲡⲁⲣⲭⲓⲁ,επαρχια
ⲉⲡⲁⲣⲭⲟⲥ,επαρχος
ⲉⲡⲉⲓ,επει
ⲉⲡⲉⲓⲇⲏ,επειδη
ⲉⲡⲉⲓⲧⲁ,επειτα
ⲉⲡⲉⲛⲇⲩⲧⲏⲥ,επενδυτης
ⲉⲡⲉⲛⲉⲅⲕⲉ,επιφερω
ⲉⲡⲉⲣⲉⲓⲇⲉⲥⲑⲁⲓ,επερειδω
ⲉⲡⲉⲭⲏⲣⲓ,επιχειρεω
ⲉⲡⲏⲣⲉⲁⲍⲉ,επηρεαζω
ⲉⲡⲏⲣⲓⲁ,επηρεια
ⲉⲡⲓ,επι
ⲉⲡⲓⲃⲟⲗⲏ,επιβολη
ⲉⲡⲓⲃⲟⲗⲟⲥ,επιβουλος
ⲉⲡⲓⲃⲟⲩⲗⲉⲩⲉ,επιβουλευω
ⲉⲡⲓⲃⲟⲩⲗⲏ,επιβουλη
ⲉⲡⲓⲃⲟⲩⲗⲟⲥ,επιβουλος
ⲉⲡⲓⲅⲉⲁⲉⲓ,επειγω
ⲉⲡⲓⲅⲉⲛⲛⲓⲟⲥ,επιγεννιος
ⲉⲡⲓⲅⲣⲁⲫⲏ,επιγραφη
ⲉⲡⲓⲇⲓⲇⲟⲩ,επιδιδοω
ⲉⲡⲓⲉⲓⲕⲏⲥ,επιεικης
ⲉⲡⲓⲑⲩⲙⲉⲓ,επιθυμεω
ⲉⲡⲓⲑⲩⲙⲓⲁ,επιθυμια
ⲉⲡⲓⲕⲁⲗⲉⲓ,επικαλεω
ⲉⲡⲓⲕⲗⲏⲥⲓⲥ,επικλησις
ⲉⲡⲓⲕⲗⲏⲧⲟⲥ,επικλητος
ⲉⲡⲓⲛⲟⲓⲁ,επινοια
ⲉⲡⲓⲛⲟⲓⲛ,επινοεω
ⲉⲡⲓⲝⲓⲥ,επειξις
ⲉⲡⲓⲥⲏⲙⲟⲥ,επισημος
ⲉⲡⲓⲥⲕⲟⲡⲏ,επισκοπη
ⲉⲡⲓⲥⲕⲟⲡⲓⲟⲛ,επισκοπειον
ⲉⲡⲓⲥⲕⲟⲡⲟⲥ,επισκοπος
ⲉⲡⲓⲥⲧⲏⲙⲏ,επιστημη
ⲉⲡⲓⲥⲧⲏⲙⲱⲛ,επιστημων
ⲉⲡⲓⲥⲧⲟⲗⲏ,επιστολη
ⲉⲡⲓⲧⲁⲕⲏ,επιταγη
ⲉⲡⲓⲧⲁⲥⲥⲉ,επιτασσω
ⲉⲡⲓⲧⲉⲗⲓⲛ,επιτελεω
ⲉⲡⲓⲧⲏⲇⲉⲩⲉ,επιτηδευω
ⲉⲡⲓⲧⲓⲙⲁ,επιτιμαω
ⲉⲡⲓⲧⲓⲙⲓⲁ,επιτιμια
ⲉⲡⲓⲧⲣⲉⲡⲉ,επιτρεπω
ⲉⲡⲓⲧⲣⲟⲡⲏ,επιτροπη
ⲉⲡⲓⲧⲣⲟⲡⲟⲥ,επιτροπος
ⲉⲡⲓⲫⲉⲣⲉ,επιφερω
ⲉⲡⲓⲭⲉⲓⲣⲏⲙⲁ,επιχειρημα
ⲉⲡⲟⲓⲕⲓⲟⲛ,εποικιον
ⲉⲡⲟⲩⲣⲁⲛⲓⲟⲛ,επουρανιος
ⲉⲣⲁⲥⲙⲟⲥ,ερισμος
ⲉⲣⲅⲁⲥⲓⲁ,εργασια
ⲉⲣⲅⲁⲥⲧⲏⲣⲓⲟⲛ,εργαστηριον
ⲉⲣⲅⲁⲧⲏⲥ,εργατης
ⲉⲣⲅⲓⲥ,εργις
ⲉⲣⲅⲟⲇⲓⲱⲕⲧⲏⲥ,εργοδιωκτης
ⲉⲣⲅⲟⲗⲁⲃⲓⲁ,εργολαβια
ⲉⲣⲅⲟⲛ,εργον
ⲉⲣⲅⲱⲭⲉⲓⲣⲱⲛ,εργοχειρον
ⲉⲣⲏⲙⲓⲁ,ερημια
ⲉⲣⲏⲙⲟⲥ,ερημος
ⲉⲣⲓⲍⲉ,εριζω
ⲉⲣⲓⲕⲏⲥ,ερεικη
ⲉⲣⲕⲉⲥⲧⲁⲧⲟⲛ,ενεργος
ⲉⲣⲙⲏⲧⲁⲣⲓⲟⲛ,ερμηταριον
ⲉⲣⲱⲥ,ερως
ⲉⲥⲉⲭⲁⲍⲉ,ησυχαζω
ⲉⲥⲑⲁⲛⲉⲥⲑⲉ,αισθανομαι
ⲉⲥⲑⲏⲥ,εσθης
ⲉⲥⲑⲏⲥⲓⲥ,αισθησις
ⲉⲥⲧⲱ,εστω
ⲉⲥⲩⲭⲁⲍⲉ,ησυχαζω
ⲉⲥⲭⲁⲣⲁ,εσχαρα
ⲉⲧⲓ,ετι
ⲉⲩⲁⲅⲅⲉⲗⲓⲍⲉ,ευαγγελιζομαι
ⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ,ευαγγελιον
ⲉⲩⲁⲅⲅⲉⲗⲓⲥⲧⲏⲥ,ευαγγελιστης
ⲉⲩⲅⲉ,ευγε / ευ γε
ⲉⲩⲅⲉⲛⲉⲓⲁ,ευγενια
ⲉⲩⲅⲉⲛⲏⲥ,ευγενης
ⲉⲩⲇⲁⲓⲙⲟⲛⲓⲁ,ευδαιμονια
ⲉⲩⲇⲁⲝⲓⲁ,ευταξια
ⲉⲩⲇⲟⲕⲉⲓ,ευδοκεω
ⲉⲩⲇⲟⲕⲓⲁ,ευδοκια
ⲉⲩⲇⲟⲕⲓⲙⲱⲧⳇ,ευδοκιμωτατος
ⲉⲩⲉⲕⲧⲏⲣⲓⲟⲛ,ευκτηριον
ⲉⲩⲉⲣⲅⲉⲥⲓⲁ,ευεργεσια
ⲉⲩⲉⲣⲅⲉⲧⲏⲥ,ευεργετης
ⲉⲩⲑⲉⲱⲥ,ευθεως
ⲉⲩⲑⲩⲥ,ευθυς
ⲉⲩⲕⲉⲣⲓ,ευκαιρεω
ⲉⲩⲕⲉⲣⲓⲁ,ευκαιρια
ⲉⲩⲕⲗⲉⲉⲥⲧⲁⲧⲟⲥ,ευκλεεστατος
ⲉⲩⲕⲟⲡⲟⲛ,ευκοπος
ⲉⲩⲕⲣⲁⲥⲓⲁ,ευκρασια
ⲉⲩⲕⲣⲁⲧⲣ,ευκρατωρ
ⲉⲩⲗⲁⲃⲉⲥⲧⲁⲧⲟⲥ,ευλαβεστατος
ⲉⲩⲗⲟⲅⲉⲓ,ευλογεω
ⲉⲩⲗⲟⲅⲓⲁ,ευλογια
ⲉⲩⲗⲟⲅⲟⲛ,ευλογον
ⲉⲩⲗⲟⲅⲱⲥ,ευλογως
ⲉⲩⲛⲟⲓⲁ,ευνοια
ⲉⲩⲡⲟⲣⲉⲓ,ευπορεω
ⲉⲩⲡⲟⲣⲓ,ευπορεω
ⲉⲩⲡⲟⲣⲓⲁ,ευπορια
ⲉⲩⲡⲟⲣⲟⲥ,ευπορος
ⲉⲩⲥⲉⲃⲉⲓⲁ,ευσεβεια
ⲉⲩⲥⲉⲃⲏⲥ,ευσεβης
ⲉⲩⲥⲡⲗⲁⲅⲭⲛⲓⲁ,ευσπλαγχνια
ⲉⲩⲥⲧⲁⲑⲓⲟⲥ,ευσταθμος
ⲉⲩⲥⲭⲏⲙⲱⲛ,ευσχημων
ⲉⲩⲧⲉⲗⲏⲥ,ευτελης
ⲉⲩⲫⲟⲣⲃⲓⲟⲩ,ευφορβιον
ⲉⲩⲫⲣⲁⲛⲉ,ευφραινω
ⲉⲩⲫⲣⲟⲥⲩⲛⲏ,ευφροσυνη
ⲉⲩⲫⲩⲏⲥ,ευφυης
ⲉⲩⲭⲁⲣⲓⲥⲧⲉⲓ,ευχαριστεω
ⲉⲩⲭⲁⲣⲓⲥⲧⲓⲁ,ευχαριστια
ⲉⲩⲭⲏ,ευχη
ⲉⲩⲹⲁⲓⲟⲥ,ευαιος
ⲉⲫⲟⲇⲓⲟⲛ,εφοδιον
ⲉⲫⲟⲣⲁⲥⲓⲁ,εφορασια
ⲉⲫⲟⲩⲇ,εφουδ
ⲉⲱⲛ,αιων
ⲍⲉⲩⲥ,ζευς
ⲍⲏⲙⲓⲁ,ζημια
ⲍⲏⲧⲏⲙⲁ,ζητημα
ⲍⲏⲧⲏⲥⲓⲥ,ζητησις
ⲍⲓⲍⲁⲛⲓⲟⲛ,ζιζανιον
ⲍⲩⲅⲓⲥⲕⲟⲛ,ζυγισκον
ⲍⲱⲅⲣⲁⲫⲉⲓ,ζωγραφεω
ⲍⲱⲅⲣⲁⲫⲉⲓⲁ,ζωγραφια
ⲍⲱⲇⲓⲟⲛ,ζωδιον
ⲍⲱⲏ,ζωη
ⲍⲱⲛⲏ,ζωνη
ⲍⲱⲟⲛ,ζωον
ⲍⲱⲣⲁⲓⲟⲥ,σωρυ
ⲏⲅⲟⲩⲛ,ηγουν
ⲏⲇⲏ,ηδη
ⲏⲑⲟⲥ,ηθος
ⲏⲗⲓⲁⲕⲟⲛ,ηλιακον
ⲏⲛⲓⲟⲭⲟⲥ,ηνιοχος
ⲏⲝⲧⲁⲥⲓⲥ,εκστασις
ⲏⲡⲓⲛⲟⲉⲓ,επινοεω
ⲏⲣⲉⲙⲓⲟⲥ,ηρεμιος
ⲏⲣⲉⲙⲟⲥ,ηρεμος
ⲑⲁⲗⲁⲥⲥⲁ,θαλασσα
ⲑⲁⲗⲗⲓⲥ,θαλλις
ⲑⲁⲗⲡⲉⲓ,θαλπω
ⲑⲁⲣⲣⲉⲓ,θαρρεω
ⲑⲁⲩⲙⲁ,θαυμα
ⲑⲁⲩⲙⲁⲍⲉ,θαυμαζω
ⲑⲁⲩⲙⲁⲥⲓⲱⲧⲁⲧⲟⲥ,θαυμασιωτατος
ⲑⲁⲩⲙⲁⲥⲧⲟⲛ,θαυμαστος
ⲑⲁⲫⲏ,αφη
ⲑⲉⲁⲧⲣⲟⲛ,θεατρον
ⲑⲉⲃⲇⲟⲙⲁⲥ,εβδομας
ⲑⲉⲃⲟⲃⲟⲗⲏ,υποβολη
ⲑⲉⲉⲧⲓⲕⲱⲛ,θεⲓκος
ⲑⲉⲓⲟⲛ,θειος
ⲑⲉⲓⲟⲥ,θειος
ⲑⲉⲗⲏⲙⲁ,θελημα
ⲑⲉⲗⲏⲥⲓⲥ,θελησις
ⲑⲉⲙⲁ,θεμα
ⲑⲉⲙⲓⲥⲥⲁ,θεμισσα
ⲑⲉⲟⲇⲟⲕⲟⲥ,θεοτοκος
ⲑⲉⲟⲗⲟⲅⲓⲁ,θεολογια
ⲑⲉⲟⲗⲟⲅⲟⲥ,θεολογος
ⲑⲉⲟⲥⲉⲃⲉⲥⲧⲁⲧⲟⲥ,θεοσεβεστατος
ⲑⲉⲟⲥⲥⲉⲃⲏⲥ,θεοσεβης
ⲑⲉⲟⲩ,θεος
ⲑⲉⲟⲫⲓⲗⲉⲥⲧⲁⲧⲟⲥ,θεοφιλεστατος
ⲑⲉⲟⲫⲟⲃⲟⲥ,θεοφοβος
ⲑⲉⲟⲫⲟⲣⲟⲥ,θεοφορος
ⲑⲉⲟⲫⲩⲗⲁⲕⲧⲟⲥ,θεοφυλακτος
ⲑⲉⲣⲁⲡⲉⲩⲉ,θεραπευω
ⲑⲉⲣⲁⲡⲓⲁ,θεραπεια
ⲑⲉⲣⲙⲟⲛ,θερμος
ⲑⲉⲣⲙⲟⲥ,θερμος
ⲑⲉⲣⲙⲟⲩⲑⲓⲥ,θερμουθις
ⲑⲉⲣⲙⲟⲫⲩⲗⲁⲕⲉ,θερμοφυλακιον
ⲑⲉⲥⲃⲓⲧⲏⲥ,θεσβιτης
ⲑⲉⲥⲓⲥ,θεσις
ⲑⲉⲥⲙⲟⲥ,θεσμος
ⲑⲉⲱⲣⲉⲓ,θεωρεω
ⲑⲉⲱⲣⲓⲁ,θεωρια
ⲑⲉⲱⲣⲓⲛ,θεωρεω
ⲑⲉⲱⲧⲓⲙⲏⲧⲁⲧⲟⲥ,θεοτιμητατος
ⲑⲏⲕⲉ,θηκη
ⲑⲏⲗⲩⲕⲟⲛ,θηλυκος
ⲑⲏⲛ,θειον
ⲑⲏⲣⲓⲟⲛ,θηριον
ⲑⲏⲥⲁⲩⲣⲟⲥ,θησαυρος
ⲑⲏⲥⲅⲉ,θυσκη
ⲑⲏⲥⲓⲁⲥ,θυσια
ⲑⲓⲥⲧⲟⲣⲓⲟⲛ,ιστοριον
ⲑⲗⲓⲃⲉ,θλιβω
ⲑⲗⲓⲯⲓⲥ,θλιψις
ⲑⲛⲏⲧⲟⲛ,θνητος
ⲑⲟⲗⲟⲥ,θολος
ⲑⲟⲩⲙⲟⲥ,θυμος
ⲑⲟⲩⲣⲁⲕⲓⲟⲛ,θωρακειον
ⲑⲣⲓⲥⲕⲓⲁ,θρησκεια
ⲑⲣⲟⲛⲟⲥ,θρονος
ⲑⲩⲕⲏ,θηκη
ⲑⲩⲗⲓⲕⲓⲁ,ηλικια
ⲑⲩⲙⲓⲁⲧⲏⲣⲓⲟⲛ,θυμιατηριον
ⲑⲩⲙⲟⲥ,θυμος
ⲑⲩⲡⲁⲿⲁ,υπατεια
ⲑⲩⲡⲟⲯⲓⲁ,υποψια
ⲑⲩⲣⲟⲣⲟⲥ,θυρωρος
ⲑⲩⲥⲓⲁ,θυσια
ⲑⲩⲥⲓⲁⲍⲉ,θυσιαζω
ⲑⲩⲥⲓⲁⲥⲧⲏⲣⲓⲟⲛ,θυσιαστηριον
ⲓⲁⲥⲡⲓⲥ,ιασπις
ⲓⲃⲉⲣⲟⲥ,ιβηρος
ⲓⲇⲟⲩⲙⲁⲓⲟⲥ,ιδουμαιος
ⲓⲉⲃⲟⲩⲥⲁⲓⲟⲥ,ιεβουσαιιος
ⲓⲉⲣⲁⲿⲕⲟⲛ,ιερατικος
ⲓⲉⲣⲟⲯⲁⲗⲧⲏⲥ,ιεροψαλτης
ⲓⲕⲧⲉⲣⲟⲥ,ικτερος
ⲓⲗⲗⲟⲩⲥⲧⲣⳇ,ιλλουστριος
ⲓⲛⲇⲟⲥ,ινδος
ⲓⲟⲥ,ιος
ⲓⲟⲩ,ιος
ⲓⲟⲩⲇⲁⲓ,ιουδαιος
ⲓⲟⲩⲇⲁⲓⲟⲥ,ιουδαιος
ⲓⲥⲕⲁⲣⲓⲱⲧⲏⲥ,ισκαριωτης
ⲓⲥⲙⲁⲏⲗⲓⲧⲏⲥ,ισμαηλιτης
ⲓⲥⲟⲧⲩⲡⲟⲛ,ισοτυπος
ⲓⲥⲟⲯⲩⲭⲟⲛ,ισοψυχος
ⲓⲥⲣⲁⲏⲗⲓⲧⲏⲥ,ισραηλιτης
ⲓⲥⲧⲟⲣⲓⲁ,ιστορια
ⲓⲭⲛⲟⲥ,ιχνος
ⲓⲱⲧⲁ,ιωτα
ⲕⲁⲃⲓⲧⲁⲣⲉ,καβιδαριος
ⲕⲁⲇⲁⲝⲓⲁⲣⲭⲏⲥ,καταξιαρχης
ⲕⲁⲇⲙⲓⲁ,καδμεια
ⲕⲁⲇⲙⲓⲁⲥ,καδμεια
ⲕⲁⲑⲁⲓⲣⲉⲥⲓⲥ,καθαιρεσις
ⲕⲁⲑⲁⲓⲣⲟⲩ,καθαιρεω
ⲕⲁⲑⲁⲣⲓ,καθαιρω
ⲕⲁⲑⲁⲣⲓⲍⲉ,καθαριζω
ⲕⲁⲑⲁⲣⲓⲥⲙⲟⲥ,καθαρισμος
ⲕⲁⲑⲁⲣⲓⲱⲧⲏⲥ,καθαριοτης
ⲕⲁⲑⲁⲣⲟⲛ,καθαρος
ⲕⲁⲑⲁⲣⲟⲡⲟⲓⲏⲥⲓⲥ,καθαροποιησις
ⲕⲁⲑⲁⲣⲟⲥ,καθαρος
ⲕⲁⲑⲁⲣⲧⲓⲕⲟⲛ,καθαρτικος
ⲕⲁⲑⲉⲅⲟⲩⲙⲉⲛⲟⲥ,καθηγουμενος
ⲕⲁⲑⲉⲇⲣⲁ,καθεδρα
ⲕⲁⲑⲉⲇⲣⲟⲥ,καθεδρος
ⲕⲁⲑⲏⲅⲓ,καθηγεομαι
ⲕⲁⲑⲏⲕⲏⲥⲓⲥ,καθηγησις
ⲕⲁⲑⲏⲕⲟⲩⲙⲉⲛⲓⲧⲏⲥ,κατηχουμενιτης
ⲕⲁⲑⲏⲕⲟⲩⲙⲉⲛⲟⲥ,κατηχουμενος
ⲕⲁⲑⲓⲕⲱⲛ,εικων
ⲕⲁⲑⲓⲥⲙⲁ,καθισμα
ⲕⲁⲑⲓⲥⲧⲁ,καθιστανω
ⲕⲁⲑⲟⲗⲓⲕⲏ,καθολικος
ⲕⲁⲑⲟⲗⲓⲕⲟⲛ,καθολικος
ⲕⲁⲓ,και
ⲕⲁⲓⲅⲁⲣ,και γαρ
ⲕⲁⲓⲕⲟⲛ,χοⲓκος
ⲕⲁⲓⲡⲉⲣ,καιπερ
ⲕⲁⲓⲣⲟⲥ,καιρος
ⲕⲁⲓⲥⲁⲣ,καισαρ
ⲕⲁⲓⲧⲟⲓ,καιτοι
ⲕⲁⲕⲓⲁ,κακια
ⲕⲁⲕⲟⲅⲏⲣⲟⲥ,κακογηρος
ⲕⲁⲕⲟⲇⲁⲫⲛⲏ,κοκκοδαφνον
ⲕⲁⲕⲟⲇⲟⲝⲓⲁ,κακοδοξια
ⲕⲁⲕⲟⲏⲑⲉⲓⲁ,κακοηθεια
ⲕⲁⲕⲟⲛ,κακος
ⲕⲁⲕⲟⲛⲟⲓⲁ,κακονοια
ⲕⲁⲕⲟⲥ,κακος
ⲕⲁⲕⲟⲩ,κακοω
ⲕⲁⲕⲟⲩⲣⲅⲓⲁ,κακουργια
ⲕⲁⲕⲟⲩⲣⲅⲟⲥ,κακουργος
ⲕⲁⲕⲱⲥ,κακως
ⲕⲁⲕⲱⲥⲓⲥ,κακωσις
ⲕⲁⲗⲁⲉⲓⲛⲟⲥ,καλλαⲓνος
ⲕⲁⲗⲁⲕⲁⲛⲑⲏⲥ,χαλκανθον
ⲕⲁⲗⲁⲙⲁⲣⲓⲟⲛ,καλαμαριον
ⲕⲁⲗⲉⲁⲣⲓⲟⲥ,γαλ(λ)ιαριος
ⲕⲁⲗⲉⲓ,καλεω
ⲕⲁⲗⲓⲃⲗⲉⲫⲁⲗⲟⲛ,καλλιβλεφαρος
ⲕⲁⲗⲗⲁⲉⲓⲛⲏ,καλλαⲓνος
ⲕⲁⲗⲗⲓⲅⲣⲁⲫⲟⲥ,καλλιγραφος
ⲕⲁⲗⲗⲓⲛⲓⲕⲟⲥ,καλλινικος
ⲕⲁⲗⲗⲟⲥ,καλλος
ⲕⲁⲗⲩⲙⲙⲁ,καλυμμα
ⲕⲁⲗⲩⲡⲧⲟⲥ,καλυπτος
ⲕⲁⲗⲱⲥ,καλως
ⲕⲁⲙⲁⲇⲓⲟⲛ,καμαδιον
ⲕⲁⲙⲁⲣⲁ,καμαρα
ⲕⲁⲙⲁⲣⲉ,καμαρα
ⲕⲁⲙⲁⲧⲱⲛ,καματος
ⲕⲁⲙⲃⲏ,καμπη
ⲕⲁⲙⲓⲛⲟⲥ,καμινος
ⲕⲁⲙⲓⲥⲓⲟⲛ,καμισιον
ⲕⲁⲙⲡⲟⲩⲣⲁⲥ,καμφορα
ⲕⲁⲛ,καν
ⲕⲁⲛⲁⲕⲁⲣⲓⲡⲡⲟⲥ,καγκαριππος
ⲕⲁⲛⲁⲛⲁⲓⲟⲥ,καναναιος
ⲕⲁⲛⲁⲛⲓⲧⲏⲥ,κανανιτης
ⲕⲁⲛⲇⲁⲕⲏⲥ,κανδακη
ⲕⲁⲛⲑⲁⲣⲓⲥ,κανθαρις
ⲕⲁⲛⲱⲛ,κανων
ⲕⲁⲛⲱⲛⲓⲍⲉ,κανονιζω
ⲕⲁⲡⲛⲓⲍⲉ,καπνιζω
ⲕⲁⲡⲛⲟⲥ,καπνος
ⲕⲁⲡⲣⲥ,καπρος
ⲕⲁⲣⲁⲉⲓⲉ,κεραια
ⲕⲁⲣⲃⲱⲛⲉ,καρβων
ⲕⲁⲣⲟⲓⲁ,καρυα
ⲕⲁⲣⲟⲓⲟⲫⲩⲗⲗⲟⲩ,καρυοφυλλον
ⲕⲁⲣⲡⲟⲥ,καρπος
ⲕⲁⲣⲡⲟⲫⲟⲣⲓⲁ,καρποφορια
ⲕⲁⲣⲧⲁⲙⲱⲛ,καρδαμον
ⲕⲁⲥⲇⲁⲗⲁⲛⲑⲟⲛ,κασδαλανθος
ⲕⲁⲥⲇⲁⲗⲁⲛⲑⲟⲥ,κασδαλανθος
ⲕⲁⲥⲓⲁ,κασια
ⲕⲁⲥⲓⲙⲟⲛ,κασαμον
ⲕⲁⲥⲓⲥ,κασις
ⲕⲁⲥⲓⲧⲏⲣⲉ,κασσιτερος
ⲕⲁⲥⲧⲣⲟⲛ,καστρον
ⲕⲁⲥⲧⲣⲟⲩ,καστρον
ⲕⲁⲥⲧⲱⲣ,καστορειον
ⲕⲁⲧⲁ,κατα
ⲕⲁⲧⲁⲃⲁⲥⲓⲥ,καταβασις
ⲕⲁⲧⲁⲃⲉⲧⲟⲥ,καταβατος
ⲕⲁⲧⲁⲃⲟⲗⲏ,καταβολη
ⲕⲁⲧⲁⲅⲅⲓⲍⲉ,καταγγιζω
ⲕⲁⲧⲁⲅⲓⲛⲱⲥⲕⲉ,καταγινωσκω
ⲕⲁⲧⲁⲅⲛⲱⲥⲓⲥ,καταγνωσις
ⲕⲁⲧⲁⲇⲓⲕⲁⲍⲉ,καταδικαζω
ⲕⲁⲧⲁⲇⲓⲕⲏ,καταδικη
ⲕⲁⲧⲁⲇⲓⲕⲱⲥ,καταδικος
ⲕⲁⲧⲁⲕⲉⲛⲉ,κατακενοω
ⲕⲁⲧⲁⲕⲓⲟⲛ,καταγειον
ⲕⲁⲧⲁⲕⲗⲏⲧⲓⲕⲟⲛ,κατακλητικος
ⲕⲁⲧⲁⲕⲗⲩⲥⲙⲟⲥ,κατακλυσμος
ⲕⲁⲧⲁⲕⲣⲓⲙⲁ,κατακριμα
ⲕⲁⲧⲁⲕⲣⲓⲛⲉ,κατακρινω
ⲕⲁⲧⲁⲕⲣⲓⲥⲓⲥ,κατακρισις
ⲕⲁⲧⲁⲗⲁⲗⲉⲓ,καταλαλεω
ⲕⲁⲧⲁⲗⲁⲗⲓⲁ,καταλαλια
ⲕⲁⲧⲁⲗⲁⲙⲃⲁⲛⲉ,καταλαμβανω
