coptic,greek
ⲁⲛⲁⲃⲁⲑⲙⲟⲥ,αναβαθμος
ⲁⲛⲁⲃⲁⲥⲓⲥ,αναβασις
ⲁⲛⲁⲅⲕⲁⲍⲉ,αναγκαζω
ⲁⲛⲁⲅⲕⲁⲓⲟⲛ,αναγκαιος
ⲁⲛⲁⲅⲕⲁⲓⲟⲥ,αναγκαιος
ⲁⲛⲁⲅⲕⲁⲓⲱⲥ,αναγκαιως
ⲁⲛⲁⲅⲕⲏ,αναγκη
ⲁⲛⲁⲅⲛⲱⲥⲓⲥ,αναγνωσις
ⲁⲛⲁⲅⲛⲱⲥⲧⲏⲥ,αναγνωστης
ⲁⲛⲁⲇⲓⲇⲟⲩ,αναδιδοω
ⲁⲛⲁⲑⲉⲙⲁ,αναθεμα
ⲁⲛⲁⲑⲉⲙⲁⲧⲓⲍⲉ,αναθεματιζω
ⲁⲛⲁⲓⲥⲑⲏⲥⲓⲁ,αναισθησια
ⲁⲛⲁⲓⲥⲑⲏⲧⲟⲛ,αναισθητος
ⲁⲛⲁⲓⲥⲑⲏⲧⲟⲥ,αναισθητος
ⲁⲛⲁⲓⲧⲓⲟⲥ,αναιτιος
ⲁⲛⲁⲕⲁⲗⲉⲓ,ανακαλεω
ⲁⲛⲁⲕⲟⲡⲏ,ανακοπη
ⲁⲛⲁⲕⲣⲓⲛⲉ,ανακρινω
ⲁⲛⲁⲗⲁⲙⲃⲁⲛⲉ,αναλαμβανω
ⲁⲛⲁⲗⲏⲙⲯⲓⲥ,αναληψις
ⲁⲛⲁⲗⲏⲯⲓⲥ,αναληψις
ⲁⲛⲁⲗⲟⲅⲓⲁ,αναλογια
ⲁⲛⲁⲗⲟⲅⲓⲟⲛ,αναλογειον
ⲁⲛⲁⲗⲩ,αναλυω
ⲁⲛⲁⲗⲩⲧⲣⲱⲥⲉ,αναλυτροω
ⲁⲛⲁⲡⲁⲩⲉ,αναπαυω
ⲁⲛⲁⲡⲁⲩⲥⲓⲥ,αναπαυσις
ⲁⲛⲁⲡⲗⲁⲥⲓⲥ,αναπλασις
ⲁⲛⲁⲡⲗⲁⲥⲥⲉ,αναπλασσω
ⲁⲛⲁⲡⲛⲟⲏ,αναπνοη
ⲁⲛⲁⲣⲭⲟⲥ,αναρχος
ⲁⲛⲁⲥⲕⲉⲡⲧⲉⲥⲑⲁⲓ,ανασκεπτομαι
ⲁⲛⲁⲥⲧⲁⲥⲓ,αναστασις
ⲁⲛⲁⲥⲧⲁⲥⲓⲙⲱⲛ,αναστασιμος
ⲁⲛⲁⲥⲧⲁⲥⲓⲥ,αναστασις
ⲁⲛⲁⲥⲧⲉⲙⲁ,αναστημα
ⲁⲛⲁⲥⲧⲣⲉⲫⲉⲥⲑⲁⲓ,αναστρεφω
ⲁⲛⲁⲥⲧⲣⲟⲫⲏ,αναστροφη
ⲁⲛⲁⲧⲟⲗⲏ,ανατολη
ⲁⲛⲁⲧⲣⲉⲡⲉ,ανατρεπω
ⲁⲛⲁⲫⲟⲣⲁ,αναφορα
ⲁⲛⲁⲭⲱ,αναχωρεω
ⲁⲛⲁⲭⲱⲣⲉⲓ,αναχωρεω
ⲁⲛⲁⲭⲱⲣⲓⲛ,αναχωρεω
ⲁⲛⲁⲭⲱⲣⲓⲧⲏⲥ,αναχωρητης
ⲁⲛⲅⲱⲛ,ανωγειον
ⲁⲛⲇⲣⲉⲁⲥ,ανδριας
ⲁⲛⲇⲣⲉⲓⲁⲥ,ανδριας
ⲁⲛⲉⲙⲡⲟⲇⲓⲥⲧⲱⲥ,ανεμποδιστως
ⲁⲛⲉⲭⲉ,ανεχω
ⲁⲛⲉⲭⲉⲥⲑⲉ,ανεχω
ⲁⲛⲍⲱⲛⲏ,ζωνη
ⲁⲛⲏⲑⲟⲩ,ανηθον
ⲁⲛⲑⲉⲙⲓⲟⲛ,ανθεμιον
ⲁⲛⲑⲉⲱⲛⲟⲥ,ανθεωνος
ⲁⲛⲑⲣⲁⲝ,ανθραξ
ⲁⲛⲑⲣⲱⲡⲓⲛⲟⲛ,ανθρωπινος
ⲁⲛⲑⲩⲡⲁⲧⲟⲥ,ανθυπατος
ⲁⲛⲛⲱⲛⲛⲁ,αννωνα
ⲁⲛⲟⲏⲧⲟⲛ,ανοητος
ⲁⲛⲟⲏⲧⲟⲥ,ανοητος
ⲁⲛⲟⲙⲉⲓ,ανομεω
ⲁⲛⲟⲙⲓⲁ,ανομια
ⲁⲛⲟⲙⲟⲛ,ανομος
ⲁⲛⲟⲙⲟⲥ,ανομος
ⲁⲛⲟⲩⲥⲓⲟⲥ,ανουσιος
ⲁⲛⲟⲭⲏ,ανοχη
ⲁⲛⲧⲓ,αντι
ⲁⲛⲧⲓⲅⲣⲁⲫⲉ,αντιγραφω
ⲁⲛⲧⲓⲅⲣⲁⲫⲟⲛ,αντιγραφον
ⲁⲛⲧⲓⲇⲓⲕⲟⲥ,αντιδικος
ⲁⲛⲧⲓⲕⲉⲓⲙⲉⲛⲏ,αντικειμενος
ⲁⲛⲧⲓⲕⲉⲓⲙⲉⲛⲟⲛ,αντικειμενος
ⲁⲛⲧⲓⲕⲉⲓⲙⲉⲛⲟⲥ,αντικειμενος
ⲁⲛⲧⲓⲗⲉⲅⲉ,αντιλεγω
ⲁⲛⲧⲓⲗⲟⲅⲓⲁ,αντιλογια
ⲁⲛⲧⲓⲙⲓⲙⲟⲛ,αντιμιμος
ⲁⲛⲧⲓⲟⲭⲉⲟⲥ,αντιοχειος
ⲁⲛⲧⲓⲧⲩⲡⲟⲛ,αντιτυπος
ⲁⲛⲧⲓⲧⲩⲡⲟⲥ,αντιτυπος
ⲁⲛⲧⲓⲭⲣⲓⲥⲧⲟⲥ,αντιχριστος
ⲁⲛⲧⲟⲡⲟⲥ,αντωπος
ⲁⲛⲳⲉⲩⲗⲉ,εγχελυς
ⲁⲛⲹⲁⲗⲓⲥⲕⲉ,αναλισκω
ⲁⲛⲹⲁⲗⲱⲙⲁ,αναλωμα
ⲁⲛⲹⲉⲥⲓⲥ,ανεσις
ⲁⲛⲹⲏⲕⲉⲓ,ανηκω
ⲁⲛⲹⲏⲕⲉⲓⲥⲑⲁⲓ,ανηκω
ⲁⲛⲹⲟⲙⲟⲓⲟⲛ,ανομοιος
ⲁⲛⲹⲟⲥⲓⲟⲥ,ανοσιος
ⲁⲛⲹⲱⲙⲁⲗⲓⲁ,ανωμαλια
ⲁⲝⲉⲓⲛⲏ,αξινη
ⲁⲝⲓⲟⲗⲟⲅⲟⲥ,αξιολογος
ⲁⲝⲓⲟⲛ,αξιος
ⲁⲝⲓⲟⲡⲓⲥⲧⲟⲥ,αξιοπιστος
ⲁⲝⲓⲟⲥ,αξιος
ⲁⲝⲓⲟⲩ,αξιοω
ⲁⲝⲓⲱⲙⲁ,αξιωμα
ⲁⲝⲓⲱⲙⲁⲧⲓⲕⲟⲥ,αξιωματικος
ⲁⲡⲁ,αββας
ⲁⲡⲁⲅⲅⲉⲓⲗⲉ,απαγγελλω
ⲁⲡⲁⲑⲏⲥ,απαθης
ⲁⲡⲁⲓⲧⲉⲓ,απαιτεω
ⲁⲡⲁⲛⲑⲣⲟⲡⲓⲁ,απανθρωπια
ⲁⲡⲁⲛⲧⲁ,απανταω
ⲁⲡⲁⲛⲧⲁⲛ,απανταω
ⲁⲡⲁⲛⲧⲏ,απαντη
ⲁⲡⲁⲛⲧⲩⲙⲁ,απαντημα
ⲁⲡⲁⲣⲁⲃⲁⲧⲱⲛ,απαραβατος
ⲁⲡⲁⲣⲛⲁ,απαρνεομαι
ⲁⲡⲁⲣⲭⲏ,απαρχη
ⲁⲡⲁⲧⲁ,απαταω
ⲁⲡⲁⲧⲁⲛ,απαταω
ⲁⲡⲁⲧⲏ,απατη
ⲁⲡⲁⲧⲱⲣ,απατωρ
ⲁⲡⲁⲩⲥⲧⲱⲥ,απαυστως
ⲁⲡⲉⲇⲉⲩⲧⲟⲥ,απαιδευτος
ⲁⲡⲉⲓⲗⲉ,απειλεω
ⲁⲡⲉⲓⲗⲏ,απειλη
ⲁⲡⲉⲣⲁⲛⲧⲟⲛ,απεραντος
ⲁⲡⲉⲣⲁⲛⲧⲟⲥ,απεραντος
ⲁⲡⲉⲣⲓⲛⲟⲏⲧⲟⲥ,απερινοητος
ⲁⲡⲓⲣⲟⲛ,απειρος
ⲁⲡⲓⲣⲟⲥ,απειρος
ⲁⲡⲓⲥⲧⲉⲓ,απιστεω
ⲁⲡⲓⲥⲧⲓⲁ,απιστια
ⲁⲡⲓⲥⲧⲟⲛ,απιστος
ⲁⲡⲓⲥⲧⲟⲥ,απιστος
ⲁⲡⲟⲃⲁⲣⲥⲓⲙⲟⲛ,οποβαλσαμον
ⲁⲡⲟⲅⲣⲁⲫⲏ,απογραφη
ⲁⲡⲟⲇⲉⲓⲝⲓⲥ,αποδειξις
ⲁⲡⲟⲇⲏⲙⲉⲓ,αποδημεω
ⲁⲡⲟⲇⲏⲙⲓⲁ,αποδημια
ⲁⲡⲟⲇⲓⲇⲟⲩ,αποδιδοω
ⲁⲡⲟⲇⲓⲕⲛⲉⲩⲉ,αποδεικνευω
ⲁⲡⲟⲇⲓⲝⲓⲥ,αποδειξις
ⲁⲡⲟⲑⲉⲓⲱⲧⲏⲥ,αποθεωτης
ⲁⲡⲟⲑⲏⲕⲏ,αποθηκη
ⲁⲡⲟⲕⲁⲑⲓⲥⲧⲁ,αποκαθισταω
ⲁⲡⲟⲕⲁⲗⲁⲙⲟⳇ,οποκαλαμος
ⲁⲡⲟⲕⲁⲗⲁⲙⲱⲛ,οποκαλαμος
ⲁⲡⲟⲕⲁⲗⲩⲯⲓⲥ,αποκαλυψις
ⲁⲡⲟⲕⲁⲧⲁⲥⲧⲁⲥⲓⲥ,αποκαταστασις
ⲁⲡⲟⲕⲣⲓⲥⲓⲥ,αποκρισις
ⲁⲡⲟⲕⲣⲓⲧⲏⲥ,αποκριτης
ⲁⲡⲟⲕⲣⲩⲫⲟⲛ,αποκρυφος
ⲁⲡⲟⲗⲁⲩⲉ,απολαυω
ⲁⲡⲟⲗⲁⲩⲉⲥⲑⲁⲓ,απολαυω
ⲁⲡⲟⲗⲁⲩⲥⲓⲥ,απολαυσις
ⲁⲡⲟⲗⲗⲱⲛ,απολλων
ⲁⲡⲟⲗⲟⲅⲓⲁ,απολογια
ⲁⲡⲟⲗⲟⲅⲓⲍⲉ,απολογιζομαι
ⲁⲡⲟⲗⲩ,απολυω
ⲁⲡⲟⲛⲟⲓⲁ,απονοια
ⲁⲡⲟⲡⲁⲛⲁⲕⲟⲥ,οποπαναξ
ⲁⲡⲟⲣⲉⲓ,απορεω
ⲁⲡⲟⲣⲓ,απορεω
ⲁⲡⲟⲣⲓⲛ,απορεω
ⲁⲡⲟⲣⲣⲟⲓⲁ,απορροια
ⲁⲡⲟⲥⲕⲉⲩⲏ,αποσκευη
ⲁⲡⲟⲥⲧⲁⲗⲙⲉⲛⲟⲥ,αποσταλμενος
ⲁⲡⲟⲥⲧⲁⲥⲓⲁ,αποστασια
ⲁⲡⲟⲥⲧⲁⲧⲉⲓ,αποστατεω
ⲁⲡⲟⲥⲧⲁⲧⲏⲥ,αποστατης
ⲁⲡⲟⲥⲧⲉⲣⲓ,αποστερεω
ⲁⲡⲟⲥⲧⲏⲑⲓⲍⲉ,αποστηθιζω
ⲁⲡⲟⲥⲧⲟⲗⲏ,αποστολη
ⲁⲡⲟⲥⲧⲟⲗⲓⲕⲏ,αποστολικος
ⲁⲡⲟⲥⲧⲟⲗⲓⲕⲟⲛ,αποστολικος
ⲁⲡⲟⲥⲧⲟⲗⲓⲕⲟⲥ,αποστολικος
ⲁⲡⲟⲥⲧⲟⲗⲟⲥ,αποστολος
