coptic_lemma,greek_form,count
ⲅⲉⲛⲉⲁ,γενεα,100
ⲙⲟⲛⲁⲥⲧⲏⲣⲓⲟⲛ,μοναστηριον,100
ⲁⲡⲟⲧⲁⲥⲥⲉ,αποτασσε,99
ⲹⲟⲡⲱⲥ,ⲹοπωσ,99
ⲑⲁⲗⲁⲥⲥⲁ,θαλασσα,98
ⲉⲣⲉⲧⲓⲛ,ερετιν,98
ⲉⲡⲓⲥⲧⲟⲗⲏ,επιστολη,97
ⲕⲣⲓⲥⲓⲥ,κρισισ,97
ⲥⲭⲏⲙⲁ,σχημα,96
ⲡⲣⲟⲥⲫⲟⲣⲁ,προσφορα,96
ⲡⲛⲉⲩⲙⲁⲧⲓⲕⲟⲛ,πνευματικον,96
ⲗⲉⲩⲓⲧⲏⲥ,λευιτησ,94
ⲁⲗⲏⲑⲱⲥ,αληθωσ,93
ⲃⲟⲏⲑⲉⲓ,βοηθει,93
ⲁⲣⲭⲓⲉⲡⲓⲥⲕⲟⲡⲟⲥ,αρχιεπισκοποσ,93
ⲥⲧⲩⲗⲗⲟⲥ,στυλλοσ,92
ⲹⲏⲅⲉⲙⲱⲛ,ⲹηγεμων,92
ⲹⲩⲡⲟⲙⲟⲛⲏ,ⲹυπομονη,92
ⲁⲣⲭⲏⲉⲡⲓⲥⲕⲟⲡⲟⲥ,αρχηεπισκοποσ,91
ⲁⲓⲧⲉⲓ,αιτει,89
ⲉⲩⲫⲣⲁⲛⲉ,ευφρανε,88
ⲡⲣⲟⲃⲟⲗⲟⲟⲩⲉ,προβολοουε,88
ⲡⲓⲗⲁⲧⲟⲥ,πιλατοσ,87
ⲑⲏⲥⲁⲩⲣⲟⲥ,θησαυροσ,85
ⲹⲁⲣⲁ,ⲹαρα,84
ⲓⲇⲱⲗⲟⲛ,ιδωλον,83
ⲁⲡⲁⲣⲭⲏ,απαρχη,82
ⲟⲣⲫⲁⲛⲟⲥ,ορφανοσ,82
ⲁⲩⲑⲁⲇⲏⲥ,αυθαδησ,82
ⲁⲕⲁⲑⲁⲣⲧⲟⲛ,ακαθαρτον,81
ⲫⲩⲥⲓⲥ,φυσισ,81
ⲟⲓⲕⲟⲩⲙⲉⲛⲏ,οικουμενη,81
ⲁⲛⲁⲥⲧⲁⲥⲓⲥ,αναστασισ,80
ⲹⲟⲣⲁⲥⲓⲥ,ⲹορασισ,80
ⲹⲩⲙⲛⲉⲩⲉ,ⲹυμνευε,79
ⲗⲩⲡⲉⲓ,λυπει,79
ⲇⲁⲓⲙⲟⲛⲓⲟⲛ,δαιμονιον,78
ⲥⲧⲟⲗⲏ,στολη,78
ⲛⲑⲟⲥ,νθοσ,78
ⲣⲭⲣⲉⲓⲁ,ρχρεια,76
ⲡⲣⲟⲥ,προσ,76
ⲥⲟⲫⲟⲥ,σοφοσ,73
ⲹⲟⲥⲟⲛ,ⲹοσον,73
ⲑⲩⲥⲓⲁⲍⲉ,θυσιαζε,73
ⲕⲁⲧⲁⲡⲉⲧⲁⲥⲙⲁ,καταπετασμα,73
ⲡⲁⲑⲟⲥ,παθοσ,72
ⲃⲁⲥⲓⲥ,βασισ,72
ⲉⲣⲡⲣⲟⲫⲏⲧⲉⲩⲓⲛ,ερπροφητευιν,72
ⲁⲥⲥⲩⲣⲓⲟⲥ,ασσυριοσ,71
ⲥⲧⲣⲁⲧⲏⲗⲁⲧⲏⲥ,στρατηλατησ,71
ⲫⲓⲗⲓⲡⲡⲟⲥ,φιλιπποσ,71
ⲥⲧⲁⲩⲣⲟⲩ,σταυρου,70
ⲡⲁⲥⲭⲁ,πασχα,70
ⲫⲁⲣⲓⲥⲉⲟⲥ,φαρισεοσ,70
ⲁⲛⲧⲓⲙⲓⲙⲟⲛ,αντιμιμον,70
ⲭⲁⲣⲓⲥ,χαρισ,69
ⲭⲣⲓⲥⲧⲓⲁⲛⲟⲥ,χριστιανοσ,69
ⲡⲟⲛⲏⲣⲟⲥ,πονηροσ,68
ⲁⲇⲓⲕⲓⲁ,αδικια,68
ⲧⲓⲙⲏ,τιμη,67
ⲁⲥⲡⲁⲍⲉ,ασπαζε,67
ⲙⲉⲧⲁⲥⲉⲃⲏⲥ,μετασεβησ,67
ⲉⲩⲭⲏ,ευχη,67
ⲃⲟⲏⲑⲟⲥ,βοηθοσ,66
ⲃⲁⲥⲁⲛⲟⲥ,βασανοσ,66
ⲥⲫⲣⲁⲅⲓⲍⲉ,σφραγιζε,66
ⲙⲁⲅⲟⲥ,μαγοσ,66
ⲗⲁⲕⲕⲟⲥ,λακκοσ,66
ⲹⲱⲇⲏ,ⲹωδη,66
ⲡⲁⲣⲣⲏⲥⲓⲁ,παρρησια,65
ⲡⲁⲣⲁⲃⲁ,παραβα,65
ⲭⲣⲉⲓⲁ,χρεια,64
ⲹⲩⲙⲛⲟⲥ,ⲹυμνοσ,64
