coptic,greek,pmi,count,source
ⲉⲣⲥⲉⲃⲉⲥⲑⲉ,ερσεβεσθε,,,loanword_only
ⲣⲭⲏⲣⲁ,ρχηρα,,,loanword_only
ⲥⲧⲩⲗⲗⲟⲥ,στυλλοσ,,,loanword_only
ⲉⲩⲁⲅⲅⲉⲗⲓⲥⲧⲏⲥ,ευαγγελιστησ,,,loanword_only
ⲭⲱⲣⲁ,χωρα,,,loanword_only
ⲥⲩⲙⲡⲟⲥⲓⲟⲛ,συμποσιον,,,loanword_only
ⲫⲑⲟⲛⲟⲥ,φθονοσ,,,loanword_only
ⲇⲏⲙⲟⲥⲓⲟⲛ,δημοσιον,,,loanword_only
ⲥⲧⲁⲥⲓⲁⲍⲉ,στασιαζε,,,loanword_only
ⲧⲣⲟⲫⲏ,τροφη,,,loanword_only
ⲥⲩⲅⲅⲉⲛⲉⲓⲁ,συγγενεια,,,loanword_only
ⲡⲁⲣⲁⲗⲏⲙⲡⲧⲱⲣ,παραλημπτωρ,,,loanword_only
ⲕⲏⲡⲟⲥ,κηποσ,,,loanword_only
ⲇⲣⲁⲙⲁ,δραμα,,,loanword_only
ⲭⲏⲣⲁ,χηρα,,,loanword_only
ⲁⲗⲁⲃⲁⲥⲧⲣⲟⲛ,αλαβαστρον,,,loanword_only
ⲅⲁⲗⲁⲧⲓⲁ,γαλατια,,,loanword_only
ⲉⲡⲓⲭⲓⲣⲉ,επιχιρε,,,loanword_only
ⲥⲡⲟⲩⲇⲏ,σπουδη,,,loanword_only
ⲕⲣⲓⲛⲟⲛ,κρινον,,,loanword_only
ⲙⲉⲧⲣⲟⲛ,μετρον,,,loanword_only
ⲇⲓⲁⲃⲁⲗⲗⲉ,διαβαλλε,,,loanword_only
ⲥⲁⲡⲡⲓⲣⲟⲛ,σαππιρον,,,loanword_only
ⲉⲡⲓⲥⲕⲟⲡⲓⲟⲛ,επισκοπιον,,,loanword_only
ⲧⲓⲧⲗⲟⲥ,τιτλοσ,,,loanword_only
ⲕⲣⲁⲛⲓⲟⲛ,κρανιον,,,loanword_only
ⲧⲉⲱⲥ,τεωσ,,,loanword_only
ⲣⲙⲁⲣⲧⲩⲣⲟⲥ,ρμαρτυροσ,,,loanword_only
ⲡⲉⲗⲓⲥ,πελισ,,,loanword_only
ⲉⲕⲕⲗⲏⲥⲓⲁ,εκκλησια,,,loanword_only
ⲃⲁⲣⲟⲥ,βαροσ,,,loanword_only
ⲁⲛⲁⲕⲣⲓⲛⲉ,ανακρινε,,,loanword_only
ⲑⲁⲣⲓ,θαρι,,,loanword_only
ⲉⲩⲣⲓⲡⲟⲥ,ευριποσ,,,loanword_only
ⲭⲓⲣⲟⲅⲣⲁⲫⲟⲛ,χιρογραφον,,,loanword_only
ⲉⲣⲉⲡⲓⲥⲕⲟⲡⲟⲥ,ερεπισκοποσ,,,loanword_only
ⲕⲁⲩⲙⲁ,καυμα,,,loanword_only
ⲁⲗⲉⲝⲁⲛⲇⲣⲉⲩⲥ,αλεξανδρευσ,,,loanword_only
ⲁⲕⲁⲑⲁⲣⲧⲟⲛ,ακαθαρτον,,,loanword_only
ⲧⲩⲡⲟⲥ,τυποσ,,,loanword_only
ⲙⲉⲧⲉⲡⲓⲥⲕⲟⲡⲟⲥ,μετεπισκοποσ,,,loanword_only
ⲇⲩⲙⲟⲥ,δυμοσ,,,loanword_only
ⲁⲩⲑⲁⲧⲏⲥ,αυθατησ,,,loanword_only
ⲕⲩⲡⲏ,κυπη,,,loanword_only
ⲡⲟⲥⲱ,ποσω,,,loanword_only
ⲛⲩⲕⲧⲉⲣⲓⲥ,νυκτερισ,,,loanword_only
ⲑⲉⲟⲇⲱⲥⲓⲟⲥ,θεοδωσιοσ,,,loanword_only
ⲇⲉⲕⲁⲛⲟⲥ,δεκανοσ,,,loanword_only
ⲙⲱⲁⲃⲓⲧⲏⲥ,μωαβιτησ,,,loanword_only
ⲧⲟⲗⲙⲁ,τολμα,,,loanword_only
ⲉⲩⲫⲣⲟⲥⲩⲛⲏ,ευφροσυνη,,,loanword_only
ⲁⲇⲣⲓⲁⲛⲟⲥ,αδριανοσ,,,loanword_only
