nt_book,nt_chap,nt_verse,lxx_chap,lxx_verse,votes,nt_v6_ref,lxx_v6_ref
Heb,4,13,32,15,41,novum_testamentum.ad_hebraeos.4.13,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.32.15
Heb,1,9,44,7,40,novum_testamentum.ad_hebraeos.1.9,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.44.7
Heb,4,12,138,2,40,novum_testamentum.ad_hebraeos.4.12,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.138.2
Heb,11,3,32,6,39,novum_testamentum.ad_hebraeos.11.3,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.32.6
Heb,2,12,21,22,38,novum_testamentum.ad_hebraeos.2.12,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.21.22
Heb,3,7,80,11,38,novum_testamentum.ad_hebraeos.3.7,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.80.11
Heb,13,8,89,4,37,novum_testamentum.ad_hebraeos.13.8,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.89.4
Heb,1,14,33,7,36,novum_testamentum.ad_hebraeos.1.14,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.33.7
Heb,13,15,106,21,34,novum_testamentum.ad_hebraeos.13.15,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.106.21
Heb,13,15,106,22,34,novum_testamentum.ad_hebraeos.13.15,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.106.22
Heb,1,13,109,1,33,novum_testamentum.ad_hebraeos.1.13,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.109.1
Heb,1,14,102,20,31,novum_testamentum.ad_hebraeos.1.14,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.102.20
Heb,1,14,102,21,31,novum_testamentum.ad_hebraeos.1.14,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.102.21
Heb,4,12,44,3,31,novum_testamentum.ad_hebraeos.4.12,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.44.3
Heb,1,14,90,11,30,novum_testamentum.ad_hebraeos.1.14,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.90.11
Heb,1,14,90,12,30,novum_testamentum.ad_hebraeos.1.14,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.90.12
Heb,2,6,143,3,30,novum_testamentum.ad_hebraeos.2.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.143.3
Heb,1,12,101,26,28,novum_testamentum.ad_hebraeos.1.12,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.101.26
