אחיתפל,αχιτοφελ
אחלמה,αμεθυστοσ
אחלצ,εκαιρεω
אחלקה,διαμεριζω
אחסה,ελπιω
אחרונ,εσχατοσ
אחרונ,ετεροσ
אחרונ,ταυ
אחרונה,εσχατοσ
אחרות,ετεροσ
אחרי,αλλοσ
אחרי,εσχατοσ
אחרי,ετεροσ
אחרי,ημερω
אחרי,κατοπισθεν
אחרי,οπισθεν
אחרי,οπισω
אחרי,ταυ
אחרימ,αλλοτριοσ
אחרימ,ετεροσ
אחרין,τελευταιος
אחרית,εσχατοσ
אחרית,ημερω
אחרן,αλληλων
אחרן,αλλος
אחרן,ετερος
אחרנ,ετεροσ
אחרנה,εσχατοσ
אחרנימ,εσχατοσ
אחרת,ετεροσ
אחשדרפן,σατραπης
אחשדרפני,σατραπαι
אחשדרפני,σατραπασ
אחשדרפני,υπατοσ
אחשתרן,βασιλειος
אחשתרן,βασιλικος
אחת,αδελφη
אחת,απαξ
אחת,ετεροσ
אחת,καιροσ
אחת,πρωτοσ
אחת,τεσσαρακοντα
אט,αγανος
אט,μειλιχιος
אט,πραος
אטד,αταδ
אטון,λινεος
אטון,λινον
אי,νησοσ
אי,ποθεν
אי,ποι
אי,ποιοσ
אי,που
איב,εχθροσ
איב,εχθρω
איבה,εχθρη
איבי,εχθροσ
איד,συμφορα
איה,γαια
איה,που
איזבל,ιεζαβελ
איימ,εθνοσ
איימ,νησοσ
איל,αρνειος
איל,ελαφοσ
איל,ελαφων
איל,κριος
איל,κριοσ
איל,κριου
איל,τυραννος
אילונ,αιλων
אילות,αρχη
אילות,δυναμαι
אילות,δυναμις
אילות,ελαφοσ
אילות,εξουσια
אילימ,κριος
אילימ,κριοσ
אילימ,κριουσ
אילימ,ωσει
אילמ,αιλιμ
אילמ,κριοσ
אילמ,κριουσ
אילן,δενδρον
אילנ,δενδρον
אילנ,δενδρου
אימה,φοβοσ
אימתני,δεινος
אימתני,σμερδαλεος
אינ,ευρισκω
אינ,εχω
אינ,ουδεισ
אינ,ουθεισ
אינ,ουκετι
אינ,ποθεν
אינ,υπαρχω
אינ,υπη
איסר,παιδευσω
איעצ,συμβουλευσω
איפה,μετρον
איפה,οιφι
איפה,που
אירא,φοβεομαι
איש,αλληλων
איש,ανδρω
איש,ανηρ
איש,ανθρωπος
איש,ανθρωποσ
איש,αρσην
איש,εκαστοσ
איש,ετεροσ
איש,εχω
איש,ιεβοσθε
איש,ιουδασ
איש,ιστωβ
איש,μεμφιβοσθε
איש,μηδεισ
איש,ουδεισ
איש,ουθεισ
איש,πασ
איש,τις
אישונ,κορη
אישימ,ανθρωποσ
אישנ,υπνωσω
