# Tesserae V6 Hebrew-Latin Cross-Lingual Dictionary
# Built by bridging hebrew_greek.csv (He->Grc, CATSS-derived) through
# greek_latin + perseus_greek_latin (Grc->La). Format: hebrew,latin (one pair/line).
# Purpose: Hebrew Bible <-> Latin Vulgate (and wider Latin corpus) cross-lingual search.
אמרת,dico
אמרת,inquam
אמרת,loquor
אמרת,respondeo
אמרת,causa
אמרת,argumentum
אמרת,contio
אמרת,tabula
אמרת,fabula
אמרת,ob
אמרת,sermo
אמרתי,aio
אמרתי,dico
אמרתי,inquam
אמרתי,loquor
אמרתי,respondeo
אמרתמ,dico
אמרתמ,loquor
אמרתמ,aio
אמת,etenim
אמת,uerus
אמת,hercules
אמת,verus
אמת,certus
אמת,ueritas
אמת,iudicium
אמת,iustitia
אמת,aequitas
אמת,servus
אמת,famulus
אמת,mancipium
אמת,seruio
אמת,seruitium
אמת,puer
אמת,famula
אמת,ancilla
אמת,ministra
אמתחת,everto
אמתחת,diruo
אמתחת,subverto
אמתחת,destruo
אמתחת,vasto
אמתחת,depopulor
אמתחת,diripio
אמתימ,duo
אמתימ,uter
אמתימ,cubitus
אנ,sol
אנ,phoebus
אנ,urbs
אנ,civitas
אנ,oppidum
אנ,moenia
אנ,athenae
אנ,municipium
אנ,credo
אנ,certus
אנ,puto
אנא,precor
אנא,oro
אנא,voveo
אנא,opto
אנא,quaeso
אנא,obsecro
אנא,oratio
אנא,prex
אנא,tandem
אנב,fructus
אנב,pomum
אנדע,nosco
אנדע,cognosco
אנדע,scio
אנדע,intellego
אנדע,scientia
אנדע,statuo
אנה,laudo
אנה,laus
אנה,credo
אנה,certus
אנה,puto
אנוש,populus
אנוש,qui
אנוש,humanus
אנוש,iste
אנוש,orbis
אנוש,plebs
אנוש,mundum
אניה,navis
אניה,puppis
אניה,carina
אניה,ratis
אניה,classis
אניה,nauis
אניה,uasum
אניה,nauicula
אניה,scapha
אניות,navis
אניות,puppis
אניות,carina
אניות,ratis
אניות,classis
אנן,queror
אנן,accuso
אנן,incuso
אנן,vitupero
אנן,reprehendo
אנן,culpa
אנס,cogo
אנס,copia
אנס,uis
אנס,necessitas
אנס,fatum
אנס,vis
אנס,necesse
